recipient_name,Major_Inclusion_Employment,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
Malaysia,0,0.0127262,0.0783816,2.19863149,0.503911,0.03431177,0,0.9966942,827.721749185319
Maldives,0,0,0,0.031307319,0,0.4257172,0,0,262.68744249095
Mali,0,0.096973976,0,6.40626733,1.0203574,0.0114556,1.980445,20.03472931,7497.87120393041
Marshall Islands,0,0.065101,0,4.3271431736,0,0.6431114,0,0.68568133,390.159873891841
Mauritania,0,0,0,0.17656594,0,0,0,1.810683,2174.72744604159
Mauritius,0.1879089,0.4361976,0.0147193,0.120066891,0,0.00957928,0,0,700.087518574221
Mexico,0.37949102,0.4970097,0,0.36026842,0.148216,0.037112905,0.029330439,0.2744355201,4320.22846371977
Micronesia,0,0.09622664,0,0.13915295,0,0.11821237,0,0.6789338,663.147930636856
"Middle East, regional",0,0,0,6.2598646,0.00268215,0.251707097,0.51271623,3.112141504,9145.2145188912
Moldova,0.0319944,2.581186187,1.08497937,7.783241438,1.5764286,2.349970944,0,1.0844141,2298.7078584406
Mongolia,0.8534202,1.30282476,0.08342554,0.975490781,0.00681231,0.564610776,0.07374488,1.266225445,2749.76880013882
Montenegro,0,0.76397526,0,0.640404924,0.1425508,0.763139,0,0.858472378,789.39063570952
Montserrat,0,0,0,0,0,0,0,0,238.326891409
Morocco,0,1.00369909,0,3.22746235,0.500553,0.87108751,0.151788662,2.641212127,14284.3164469456
Mozambique,0.01123807,2.629241702,0.021696007,2.170578788,1.215397,3.16327376,0.088495439,8.023862019,11962.7922401416
Myanmar,0.0937213,1.360301515,1.23766882,123.602048038,0,26.109171547,3.129104233,144.349379095,13388.3228090804
Namibia,0.102162,0.57424231,0,0.67122362316,0.302606,0.0244641,0,0.41831062,1472.91022920097
Nauru,0,0.0702852,0,0.160097091,0,0.22373321,0,1.22146751,150.342719458708
Nepal,0.01751368,0.83887958,0.344542318,5.696272091,0.484406242,4.82370589515,0.953985765,30.105896175,6732.34408631184
Nicaragua,0.00995256,1.15022595,0.0101911,0.707025319,0.09567033,1.898286444,0,8.509055954,3045.81698514679
Niger,0,0.5165414,0,0.76785023,0.088113,0.739153,0.2919055,11.47364152,5619.16294351363
Nigeria,0,0.0142684,0,1.780575619,2.29214,0.11899092,2.71139057,75.9201381,15317.8261132868
Niue,0,0.065101,0,0.00203591,0,0.0117863,0,0.6789338,96.440916572838
"North & Central America, regional",0.58331072,0.3199068,0,0.01973431,0.00113691,0.838496,0.450907,0.89354354,2597.71375388052
North Macedonia,0,0.20034442,0.015940956,0.348378144,0.274195,0.21459899,0,2.66058191,1431.66803154722
"North of Sahara, regional",0,0.95171886,0,2.3490484,0,0.313245,0,2.963177204,1293.52931931659
"Oceania, regional",0,5.16541095,0.0293997,7.29443019,0.04169052,9.3132174,0,10.601055118,1554.97115325855
Pakistan,0.00570474,0.2222664,0,5.218295055,0.729665,0.13034967,2.77672172,3.93418467,20809.7455528192
Palau,0,0.065101,0,3.24402e-05,0,0.06874083,0,0.68568133,122.438720843194
Panama,0,0,0,0.13783285,0,0.154523,0.0017056,0.140582515,284.73276215518
Papua New Guinea,0,0.81937089,0,4.14116242,0,5.0178275,0,1.7462463,3569.8969350575
Paraguay,0.5061851,0.33061166,0,0.88150979,0,0.3450849,0.004817448,2.05115765,951.694775963204
Peru,0.02297102,1.993376592,0.05575876,2.750372088,0.128366655,1.82175518,0.2686741,4.097145617,3020.39591983174
Philippines,0,1.532238091,0.012093862,1.401808651,0,3.072068536,0,4.39011507,6284.06491945472
Rwanda,0,3.8009831699,0.216587,109.016198481,0.1482359,3.618432516,0,5.16680058,6232.49330252605
Saint Helena,0,0,0,0,0,0,0.0175601,0.0194881,629.7253122989
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,36.49630690864
Saint Lucia,0,0,0,0.2766494,0,0.0124914,0,0.0234462,149.482349387929
