destination_Location_name_split,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
Ukraine,0,0,964716.492170258,0,0,0,7279131.30875776,645790218.438966
United Arab Emirates,0,0,0,0,0,0,0,1473699.46622434
United States,0,0,0,0,0,0,0,1355.32862674975
Uruguay,0,0,0,0,0,0,0,4493823.83809756
Uzbekistan,0,0,0,0,0,0,0,2238652.65960155
Vanuatu,0,0,0,0,0,0,0,29817591.2183271
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,8524564.07367101
Viet Nam,0,0,0,0,0,0,128955.782951914,25059804.5424765
"Virgin Islands, British",0,0,0,0,0,0,0,100724.944572204
Western Sahara,0,0,0,0,0,0,0,5679336.40178426
Yemen,0,0,2145471.22353819,320842.306307618,0,0,14098965.9175619,6955979578.09897
Zambia,0,0,0,0,0,0,0,19034010.1976159
Zimbabwe,0,0,0,0,0,0,0,648254284.472549
occupied Palestinian territory,642904.048694758,2235242.35873735,26288134.8612285,0,1067519.43776187,0,10909765.8463713,3326065804.68711
